11/24/2013,7955985,950123,0,28593630,127917,37394
11/25/2013,8071337,962997,0,28740136,128639,37670
11/26/2013,8111890,967120,0,28807594,129258,37929
11/27/2013,8137436,983794,0,28848896,129556,38097
11/28/2013,8152154,985708,0,28870236,129620,38129
11/29/2013,8174267,988969,0,28903990,129679,38154
11/30/2013,8204701,997216,0,28945884,129719,38176
12/1/2013,8268273,1027359,0,29029094,129824,38221
12/2/2013,8339855,1036012,0,29147828,130457,38567
12/3/2013,8397540,1052871,0,29267392,131284,38968
12/4/2013,8465920,1098585,0,29402042,131907,39296
12/5/2013,8526913,1126235,0,29521082,132537,39620
12/6/2013,8576619,1166574,0,29610320,132962,39839
12/7/2013,8604566,1170967,0,29665772,133051,39882
12/8/2013,8692001,1180270,0,29829472,133189,39950
12/9/2013,8767970,1197289,0,29996068,133832,40294
12/10/2013,8834791,1240304,0,30152624,134535,40625
12/11/2013,8886337,1268019,0,30287262,135192,41002
12/12/2013,8930223,1326765,0,30385586,136038,41449
12/13/2013,8944528,1380307,0,30443776,136523,41686
12/14/2013,8954577,1464248,0,30484590,136710,41810
12/15/2013,8968975,1495842,0,30547586,136886,41895
12/16/2013,8985581,1535799,0,31457668,138940,42355
12/17/2013,9000281,1581380,0,33744782,141750,42859
12/18/2013,9013791,1641919,0,34368652,142786,43355
12/19/2013,9020835,1846389,0,34435474,143692,43878
12/20/2013,9026343,1927848,0,34605940,144414,44150
12/21/2013,9028309,1959833,0,34630380,144644,44207
12/22/2013,9030128,2013556,0,34651720,144792,44288
12/23/2013,9032225,2049335,0,34675118,145241,44575
12/24/2013,9033008,2057697,0,34738382,145476,44698
12/25/2013,9033679,2060922,0,34746106,145595,44768
12/26/2013,9035407,2062490,0,34755150,146206,44990
12/27/2013,9037223,2064914,0,34770058,146514,45151
12/28/2013,9038783,2098214,0,34783156,146663,45224
12/29/2013,9040305,2117339,0,34796236,146934,45374
12/30/2013,9042222,2179374,0,34812344,147815,45877
12/31/2013,9044269,2257273,0,34829510,148284,46123
1/1/2014,9046613,2275047,0,34844546,148537,46261
1/2/2014,9049294,2280580,0,34865856,149403,46745
1/3/2014,9052291,2281005,0,34897266,150228,47170
1/4/2014,9054293,2291442,0,34923150,150518,47300
1/5/2014,9056983,2292765,0,34950178,150827,47429
1/6/2014,9063144,2293326,0,34998152,151973,47959
1/7/2014,9072307,2293982,0,35072088,154121,48932
1/8/2014,9081455,2297368,0,35155258,156197,49805
1/9/2014,9091844,2300449,0,35250740,157798,50512
1/10/2014,9100896,2302124,0,35338086,158840,50912
1/11/2014,9108235,2303389,0,35405638,159382,51138
1/12/2014,9119563,2304923,0,35486296,159955,51417
1/13/2014,9134794,2308727,0,35610354,161576,52175
1/14/2014,9153148,2314275,0,35766476,163183,52836
1/15/2014,9173696,2321779,0,35950046,164716,53492
1/16/2014,9193240,2329719,0,36126650,166113,54042
1/17/2014,9209414,2345406,0,36284002,167182,54454
1/18/2014,9224099,2350216,0,36399156,167516,54563
1/19/2014,9243918,2358641,0,36533026,167800,54666
1/20/2014,9266090,2366438,0,36704638,168385,54942
1/21/2014,9292736,2378553,0,36915876,169500,55467
1/22/2014,9320282,2387067,0,37049982,170476,55952
1/23/2014,9346979,2395907,0,37145920,171251,56341
1/24/2014,9368957,2408683,0,37222444,172096,56708
1/25/2014,9388073,2417398,0,37289820,172248,56776
1/26/2014,9418237,2431904,0,37402570,172455,56856
1/27/2014,9451112,2446589,0,37523080,173336,57270
1/28/2014,9479494,2457143,0,37633386,174541,58074
1/29/2014,9509726,2469339,0,37751060,175645,58778
1/30/2014,9537764,2480652,0,37860030,176352,59185
1/31/2014,9559775,2497477,0,37943630,176832,59444
2/1/2014,9579156,2505482,0,38014348,176979,59489
2/2/2014,9607563,2520127,0,38127670,177132,59563
2/3/2014,9643377,2533837,0,38268602,177887,59956
2/4/2014,9676215,2545041,0,38403738,178773,60382
2/5/2014,9711842,2559689,0,38541698,179537,60714
2/6/2014,9743587,2569122,0,38664100,180215,61072
2/7/2014,9767641,2579600,0,38749256,180796,61364
2/8/2014,9789294,2585659,0,38825950,180880,61395
2/9/2014,9824630,2597226,0,38965912,181068,61484
2/10/2014,9864198,2608777,0,39119588,181803,61870
2/11/2014,9899587,2620767,0,39258728,182755,62366
2/12/2014,9933002,2637480,0,39389006,183630,62847
